Designator,Mid X,Mid Y,Layer,Rotation
C1,127.745000,-62.520000,top,90.000000
C2,147.250000,-55.750000,top,90.000000
C3,160.584200,-77.086300,top,180.000000
C4,161.544000,-59.232800,top,180.000000
C5,132.750000,-110.500000,top,-90.000000
C7,162.500000,-110.500000,top,-90.000000
C8,140.500000,-110.500000,top,-90.000000
D1,119.287500,-104.020000,top,180.000000
D2,119.307500,-96.150000,top,180.000000
D3,119.287500,-92.650000,top,180.000000
D4,117.890000,-84.890000,top,180.000000
J1,112.700000,-75.100000,top,-90.000000
Q1,120.500000,-88.750000,top,180.000000
Q2,120.500000,-100.080000,top,180.000000
Q3,122.500000,-110.500000,top,180.000000
R1,125.645000,-62.520000,top,90.000000
R2,166.584200,-74.881300,top,180.000000
R3,166.584200,-72.341300,top,180.000000
R4,166.584200,-69.801300,top,180.000000
R5,166.584200,-67.261300,top,180.000000
R6,154.584200,-73.611300,top,180.000000
R7,154.584200,-71.071300,top,180.000000
R8,154.584200,-68.531300,top,180.000000
R9,154.584200,-65.991300,top,180.000000
R10,125.912500,-103.080000,top,180.000000
R11,125.912500,-101.080000,top,180.000000
R12,125.912500,-99.080000,top,180.000000
R13,125.912500,-97.080000,top,180.000000
R14,125.912500,-91.750000,top,180.000000
R15,125.912500,-89.750000,top,180.000000
R16,125.912500,-87.750000,top,180.000000
R17,125.912500,-85.750000,top,180.000000
R18,145.750000,-86.750000,top,180.000000
R19,145.750000,-84.750000,top,0.000000
R20,143.000000,-85.750000,top,90.000000
R21,145.750000,-79.750000,top,180.000000
R22,145.750000,-81.750000,top,0.000000
R23,143.000000,-80.750000,top,-90.000000
R24,102.800000,-79.050000,top,90.000000
R25,102.870000,-96.418400,top,90.000000
R26,161.544000,-61.620400,top,180.000000
R27,130.490000,-78.390000,top,180.000000
R28,130.480000,-80.540000,top,180.000000
R29,126.640000,-72.140000,top,90.000000
R30,128.770000,-72.140000,top,90.000000
R31,119.520000,-82.720000,top,0.000000
R32,122.490000,-83.450000,top,90.000000
R33,120.340000,-72.140000,top,90.000000
R34,122.490000,-72.140000,top,90.000000
S1,124.250000,-77.750000,top,0.000000
U1,142.000000,-71.005000,top,-90.000000
U2,128.420000,-57.770000,top,180.000000
U3,150.600000,-104.000000,top,0.000000
U4,160.584200,-70.436300,top,180.000000
U5,156.616400,-58.877200,top,-90.000000
