Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C4",0805,4,100nF,C49678
"C10, C11, C12, C9",0402,4,100p,C1546
"C2, C3",0805,2,10uF,C15850
"C5, C6, C7, C8",C_Elec_6.3x7.7,4,100uF,C3001246
"D1, D2, D3, D4",D_SOD-123F,4,DIODE,C37049
"D5, D6",SOT-23,2,NUP2105L,C284104
J1,5007620481,1,5007620481,
J2,PinHeader_1x02_P2.54mm_Vertical,1,CAN2_T,
J3,PinHeader_1x02_P2.54mm_Vertical,1,CAN1_T,
"Q1, Q2",SO-8_IRF956,2,BSO615NG,C693398
Q3,TO-252-2,1,P-Chanel Mosfet,C416264
"R1, R10, R12, R14, R16, R18, R21, R26, R27, R28, R29, R30, R6, R7, R8, R9",0805,16,10k,C17414
"R11, R13, R15, R17",0805,4,220,C17557
"R19, R22",0805,2,20k,C4328
"R2, R3, R4, R5",0805,4,4.7k,C17673
"R24, R25",0805,2,120,C17437
"R31, R32, R33, R34",0805,4,47k,C17713
S1,PG-DSO-14-40_EP,1,BTS5200-4,C534815
U1,Teensy40_JoeMBMS,1,Teensy4.0,
"U2, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,C12084
U3,Converter_DCDC_RECOM_R-78E-0.5_THT,1,DCDC 5V,
U4,TLP293-4,1,IS281-4 ,C89878
U6,Converter_DCDC_RECOM_R-78E-0.5_THT,1,DCDC 3.3V,
"U7, U8",SOT-23-6,2,Level Shifter 5V to 3V,C7843
