Designator,Mid X,Mid Y,Rotation,Layer
C1,122.655,-56.095,0.0,top
C10,118.610065,-60.6922,270.0,top
C11,114.21,-51.36,90.0,top
C12,114.215,-53.255,90.0,top
C13,151.384,-77.398,270.0,top
C14,151.4,-81.675,90.0,top
C2,158.2175,-50.8,90.0,top
C3,148.925,-99.161999,90.0,top
C4,126.841065,-65.1152,0.0,top
C5,127.25,-113.805,180.0,top
C6,127.25,-129.54,180.0,top
C7,153.416,-116.332,270.0,top
C8,127.25,-121.41,180.0,top
C9,118.610065,-62.5722,90.0,top
D1,119.3625,-87.497,180.0,top
D2,119.3825,-79.627,180.0,top
D3,119.3825,-77.15,180.0,top
D4,119.3825,-69.39,180.0,top
D5,116.120065,-61.6322,0.0,top
D6,111.735,-52.305,0.0,top
D7,153.6,-82.225,270.0,top
D8,153.67,-76.708,90.0,top
J1,112.7,-75.1,270.0,top
J2,115.06,-56.405,270.0,top
J3,119.198465,-65.3542,270.0,top
Q1,120.595,-73.25,180.0,top
Q2,120.575,-83.557,180.0,top
Q3,120.56,-105.28,180.0,top
R1,118.645,-56.095,180.0,top
R10,125.9875,-86.557,180.0,top
R11,125.9875,-84.557,180.0,top
R12,125.9875,-82.557,180.0,top
R13,125.9875,-80.557,180.0,top
R14,126.0075,-76.25,180.0,top
R15,126.0075,-74.25,180.0,top
R16,126.0075,-72.25,180.0,top
R17,126.0075,-70.25,180.0,top
R18,148.7,-82.575,180.0,top
R19,148.7,-80.575,0.0,top
R2,151.13,-105.161999,90.0,top
R21,148.6935,-76.47,180.0,top
R22,148.6935,-78.47,0.0,top
R24,115.725,-52.735,90.0,top
R25,120.062065,-61.7982,90.0,top
R26,122.791065,-65.1352,180.0,top
R27,129.14,-101.1775,90.0,top
R28,131.24,-101.1775,90.0,top
R29,128.93,-90.0675,90.0,top
R3,153.67,-105.161999,90.0,top
R30,130.97,-90.0675,90.0,top
R31,121.02,-97.6575,270.0,top
R32,126.33,-100.4375,180.0,top
R33,121.02,-94.1575,270.0,top
R34,126.12,-90.8175,0.0,top
R4,156.21,-105.161999,90.0,top
R5,158.75,-105.161999,90.0,top
R6,152.4,-93.161999,90.0,top
R7,154.94,-93.161999,90.0,top
R8,157.48,-93.161999,90.0,top
R9,160.02,-93.161999,90.0,top
S1,126.5,-95.69,0.0,top
U1,148.0675,-66.9775,270.0,top
U2,120.665,-52.285,180.0,top
U3,134.9525,-122.053,270.0,top
U4,155.575,-99.161999,90.0,top
U5,124.817465,-61.2902,180.0,top
U6,135.509,-93.853,0.0,top
U7,152.9175,-71.1925,0.0,top
U8,136.9675,-69.4425,0.0,top
